Local_Date_Time,RIC,Price,Volume
2021-03-04,AAPL.O,120.13,6065231
2021-03-05,AAPL.O,121.42,7002832
2021-03-08,AAPL.O,116.36,8122517
2021-03-09,AAPL.O,121.085,8865565
2021-03-10,AAPL.O,119.98,4091713
2021-03-11,AAPL.O,121.96,5836833
2021-03-12,AAPL.O,121.03,3870995
2021-03-15,AAPL.O,123.99,7852643
2021-03-16,AAPL.O,125.57,3923091
2021-03-17,AAPL.O,124.76,6389551
2021-03-18,AAPL.O,120.53,8929506
2021-03-19,AAPL.O,119.99,44576685
2021-03-22,AAPL.O,123.39,9642686
2021-03-23,AAPL.O,122.54,7484659
2021-03-24,AAPL.O,120.09,5096665
2021-03-25,AAPL.O,120.59,5139501
2021-03-26,AAPL.O,121.21,6412337
2021-03-29,AAPL.O,121.39,4606133
2021-03-30,AAPL.O,119.9,5240731
2021-03-31,AAPL.O,122.15,14052024
2021-04-01,AAPL.O,123.0,4649085
2021-04-05,AAPL.O,125.9,5124582
2021-04-06,AAPL.O,126.21,4969952
2021-04-07,AAPL.O,127.9,4067960
2021-04-08,AAPL.O,130.36,5179137
2021-04-09,AAPL.O,132.995,5639032
2021-04-12,AAPL.O,131.24,7369280
2021-04-13,AAPL.O,134.43,4948656
2021-04-14,AAPL.O,132.03,4946698
2021-04-15,AAPL.O,134.5,8904203
2021-04-16,AAPL.O,134.16,9803036
2021-04-19,AAPL.O,134.84,4485153
2021-04-20,AAPL.O,133.11,4277977
2021-04-21,AAPL.O,133.5,5040574
2021-04-22,AAPL.O,131.94,4419491
2021-04-23,AAPL.O,134.32,5721385
2021-04-26,AAPL.O,134.72,5358848
2021-04-27,AAPL.O,134.39,3544038
2021-04-28,AAPL.O,133.58,4009360
2021-04-29,AAPL.O,133.48,4081996
2021-04-30,AAPL.O,131.46,7451161
2021-05-03,AAPL.O,132.54,3954872
2021-05-04,AAPL.O,127.85,7578644
2021-05-05,AAPL.O,128.1,3734004
2021-05-06,AAPL.O,129.74,5579883
2021-05-07,AAPL.O,130.21,5390214
2021-05-10,AAPL.O,126.85,8064134
2021-05-11,AAPL.O,125.91,5589631
2021-05-12,AAPL.O,122.77,10328322
2021-05-13,AAPL.O,124.97,5128111
2021-05-14,AAPL.O,127.45,8113993
2021-05-17,AAPL.O,126.27,5323326
2021-05-18,AAPL.O,124.85,5177149
2021-05-19,AAPL.O,124.69,6754497
2021-05-20,AAPL.O,127.31,5857611
2021-05-21,AAPL.O,125.43,5235820
2021-05-24,AAPL.O,127.1,6224809
2021-05-25,AAPL.O,126.9,4606061
2021-05-26,AAPL.O,126.85,4174265
2021-05-27,AAPL.O,125.28,21286006
2021-05-28,AAPL.O,124.61,6171672
2021-06-01,AAPL.O,124.28,3385923
2021-06-02,AAPL.O,125.06,3492964
2021-06-03,AAPL.O,123.54,4290984
2021-06-04,AAPL.O,125.89,5853706
2021-06-07,AAPL.O,125.9,4340136
2021-06-08,AAPL.O,126.74,3868090
2021-06-09,AAPL.O,127.13,6852470
2021-06-10,AAPL.O,126.11,5017763
2021-06-11,AAPL.O,127.35,4698224
2021-06-14,AAPL.O,130.48,13403880
2021-06-15,AAPL.O,129.64,5268786
2021-06-16,AAPL.O,130.15,7631411
2021-06-17,AAPL.O,131.79,10249733
2021-06-18,AAPL.O,130.46,19272902
2021-06-21,AAPL.O,132.3,9918832
2021-06-22,AAPL.O,133.98,9119099
2021-06-23,AAPL.O,133.7,3502109
2021-06-24,AAPL.O,133.41,6199514
2021-06-25,AAPL.O,133.11,16971296
2021-06-28,AAPL.O,134.78,5316355
2021-06-29,AAPL.O,136.33,3040363
2021-06-30,AAPL.O,136.96,7459983
2021-07-01,AAPL.O,137.27,3321884
2021-07-02,AAPL.O,139.96,5351267
